id,name,full_name,updated_at,created_at,pushed_at,size,stargazers_count,forks_count,open_issues_count,default_branch,head
279422587,glicol,chaosprint/glicol,2022-10-23T19:51:58Z,2020-07-13T22:13:33Z,2022-10-11T21:05:18Z,106537,1101,46,21,main,da130198fe48d4559783ba40001a7689199dd48c
517052475,catp,rapiz1/catp,2022-10-23T13:37:43Z,2022-07-23T12:32:06Z,2022-07-27T12:28:17Z,1064,1100,18,1,main,14c5e5ba7d655554bb3689da6a5ab1f174688883
72799153,discovery,rust-embedded/discovery,2022-10-23T18:52:42Z,2016-11-04T00:28:13Z,2022-09-27T22:57:37Z,10024,1098,372,77,master,4f6e7c3ea068ad5be79c7606f46ffb0c2cf7d58c
254463038,mobilecoin,mobilecoinfoundation/mobilecoin,2022-10-21T15:39:22Z,2020-04-09T19:41:31Z,2022-10-22T21:25:39Z,20387,1097,127,253,master,c565c36b3b009fcce4b8208defad0845de1eb552
265788509,notecalc3,bbodi/notecalc3,2022-10-22T17:16:57Z,2020-05-21T07:53:20Z,2021-10-08T20:02:25Z,6266,1096,34,31,develop,ba3a3ae00d456edc18e41bea51e86429df78deb3
39502833,rodio,RustAudio/rodio,2022-10-21T07:44:11Z,2015-07-22T11:38:27Z,2022-10-20T07:25:09Z,9810,1096,162,108,master,70c80462e64d46235c7b7dd836e735ef89e29ddd
136835450,ureq,algesten/ureq,2022-10-23T12:25:16Z,2018-06-10T18:43:13Z,2022-10-21T20:57:03Z,869,1095,102,54,main,855f20e6623471693cf67dfabb52cfdf212d496e
82634530,cargo-fuzz,rust-fuzz/cargo-fuzz,2022-10-23T13:49:10Z,2017-02-21T04:04:56Z,2022-10-18T18:32:45Z,428,1093,85,80,master,f1c88e2b080923514261079e13a01049e40f7a14
507206677,xlite,x2bool/xlite,2022-10-22T21:05:08Z,2022-06-25T03:48:57Z,2022-10-09T10:17:44Z,36,1092,33,2,master,ec6b81daacbb5aa6de13cf6b9f73c44bb5f0f52a
189298148,fp-core.rs,JasonShin/fp-core.rs,2022-10-23T16:21:40Z,2019-05-29T21:06:32Z,2022-07-12T17:37:35Z,278,1090,55,30,master,4564c429f2ebc89a810f3e064f7db5e76ac68f6e
37727198,wifi-connect,balena-os/wifi-connect,2022-10-22T07:39:25Z,2015-06-19T14:45:09Z,2022-09-30T07:54:01Z,3916,1089,322,176,master,3051c591c96cc129d4eadcea2d2761448ca32b7a
33914894,opencv-rust,twistedfall/opencv-rust,2022-10-23T08:58:01Z,2015-04-14T06:32:54Z,2022-10-23T18:05:58Z,14473,1089,101,27,master,23d351c75c95245ea98eca39839823c4c7063ba7
194901523,bracket-lib,amethyst/bracket-lib,2022-10-23T01:46:22Z,2019-07-02T16:47:21Z,2022-10-20T20:25:14Z,11876,1089,86,73,master,851f6f08675444fb6fa088b9e67bee9fd75554c6
268159767,so,samtay/so,2022-10-23T16:57:44Z,2020-05-30T21:06:13Z,2022-10-01T00:59:39Z,7559,1086,22,5,main,9afb396e19421cc9ccb08edf904e0bf90151d153
